Time: 1576459952, Messages: 2, Member Joined: 0
Time: 1576459957, Messages: 6, Member Joined: 0
Time: 2019-12-16 01:39:54.803962, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:39:59.805194, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:40:04.806748, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:40:09.808807, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:40:14.807632, Messages: 4, Member Joined: 0
Time: 2019-12-16 01:40:19.809177, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:40:24.803443, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:41:58.137471, Messages: 2, Member Joined: 0
Time: 2019-12-16 01:42:03.134850, Messages: 4, Member Joined: 0
Time: 2019-12-16 01:42:08.138274, Messages: 5, Member Joined: 0
Time: 2019-12-16 01:42:16.128103, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:42:21.129766, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:42:26.134361, Messages: 3, Member Joined: 0
Time: 2019-12-16 01:42:31.142062, Messages: 3, Member Joined: 0
Time: 2019-12-16 01:43:32.071995, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:43:37.067336, Messages: 6, Member Joined: 0
Time: 2019-12-16 01:47:33.548765, Messages: 0, Member Joined: 0
Time: 2019-12-16 01:47:38.537304, Messages: 2, Member Joined: 0
Time: 2019-12-16 01:47:43.538623, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:29.146505, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:34.147899, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:39.149968, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:44.151337, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:49.152659, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:54.155242, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:05:59.153396, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:06:04.144274, Messages: 2, Member Joined: 0
Time: 2019-12-16 02:06:09.153839, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:06:35.033518, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:06:40.034785, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:06:45.036200, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:06:50.048718, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:06:55.050350, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:00.051992, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:05.051222, Messages: 2, Member Joined: 0
Time: 2019-12-16 02:07:10.053844, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:15.061793, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:20.054862, Messages: 3, Member Joined: 0
Time: 2019-12-16 02:07:25.055404, Messages: 1, Member Joined: 0
Time: 2019-12-16 02:07:30.057399, Messages: 2, Member Joined: 0
Time: 2019-12-16 02:07:35.058908, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:40.060632, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:45.062903, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:50.065787, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:07:55.070673, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:08:00.077616, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:08:05.079006, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:16:35.863285, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:17:35.870840, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:18:35.874795, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:19:35.868957, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:20:35.875707, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:21:35.876247, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:22:35.877067, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:23:35.881956, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:24:35.893029, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:25:35.894872, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:33:45.660168, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:34:45.666231, Messages: 2, Member Joined: 1
Time: 2019-12-16 02:38:56.070964, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:44:38.696299, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:45:38.692865, Messages: 3, Member Joined: 1
Time: 2019-12-16 02:46:38.686129, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:47:38.679085, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:49:31.002947, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:50:31.013883, Messages: 2, Member Joined: 1
Time: 2019-12-16 02:52:02.680301, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:52:30.790908, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:53:30.800238, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:54:30.815069, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:55:30.816791, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:56:30.823717, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:57:30.825656, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:58:30.823100, Messages: 0, Member Joined: 0
Time: 2019-12-16 02:59:30.823287, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:00:30.821959, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:01:30.826786, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:02:30.826166, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:03:30.823702, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:04:30.827342, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:05:30.819584, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:06:30.829076, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:07:30.817638, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:08:30.829497, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:09:30.818192, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:10:12.476697, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:11:12.473998, Messages: 2, Member Joined: 0
Time: 2019-12-16 03:11:35.204627, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:12:35.200287, Messages: 1, Member Joined: 0
Time: 2019-12-16 03:13:35.194721, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:14:35.191941, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:15:35.205293, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:16:35.220810, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:17:35.234783, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:18:35.232930, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:19:35.235755, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:20:35.224331, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:21:22.902081, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:22:00.475293, Messages: 1, Member Joined: 0
Time: 2019-12-16 03:32:40.449603, Messages: 0, Member Joined: 0
Time: 2019-12-16 03:33:40.892476, Messages: 0, Member Joined: 0
Time: 2019-12-16 08:28:45.454924, Messages: 0, Member Joined: 0
